Recipient Balochi BantuKenya BantuSouthAfrica Druze EastSicilian English Hadza Han Ireland Japanese Makrani Mandenka Maya Naxi Russian Sardinian Saudi Scottish She Sindhi Surui Syrian Turkish UAE Uygur Yemeni
Druze6 7.987 2.529 1.365 144.200 5.654 1.815 0.347 5.335 2.805 4.093 8.971 2.793 4.372 1.225 13.110 13.287 6.383 3.945 1.357 9.084 1.626 7.696 7.711 5.380 3.326 2.228
Druze7 16.474 3.198 1.457 52.793 10.161 5.989 0.719 9.425 5.561 7.389 15.204 4.407 11.404 1.920 18.583 28.796 10.637 5.122 2.172 15.120 2.369 14.251 11.882 6.396 5.066 2.126
Druze8 7.817 0.882 0.621 160.937 4.190 2.628 0.183 5.631 2.412 4.875 9.657 1.895 3.517 1.364 9.488 9.646 4.672 3.130 1.439 7.999 1.614 10.108 6.786 3.983 2.181 0.966
Druze9 5.342 0.749 0.876 189.872 3.112 2.435 0.185 4.364 2.232 3.079 5.061 2.308 1.936 0.717 7.028 11.573 2.577 1.936 0.985 6.539 0.724 5.159 4.025 3.613 1.505 0.692
Druze10 14.127 3.411 2.933 61.808 7.585 4.700 0.705 11.525 5.092 8.708 14.171 5.859 8.309 2.770 18.209 21.705 11.297 3.752 2.978 13.057 2.061 14.793 13.396 8.265 4.308 3.098
Druze11 4.456 0.466 0.365 218.672 1.989 1.145 0.206 2.490 1.421 2.268 3.531 1.091 2.137 0.531 4.828 4.641 2.025 0.901 0.852 3.485 0.748 2.773 4.139 1.717 1.223 0.523
Druze12 6.644 1.157 0.898 158.901 4.347 3.259 0.207 5.865 3.606 4.371 7.681 2.611 5.107 1.369 10.285 10.719 4.820 2.876 1.552 7.346 1.250 6.892 9.765 3.505 2.290 1.299
Druze13 7.486 1.203 1.277 140.125 5.699 3.086 0.231 7.190 2.628 6.252 10.342 2.217 4.629 1.732 10.942 13.571 5.874 2.652 2.371 10.571 1.601 7.254 9.102 5.508 3.385 1.694
Druze14 10.899 1.674 0.855 102.083 7.788 5.367 0.426 7.811 6.884 6.876 10.048 3.116 6.584 1.797 15.323 18.302 5.407 5.352 2.040 13.415 2.222 11.713 12.402 5.521 3.393 1.322
Druze15 2.448 0.602 0.319 224.697 1.564 0.658 0.082 2.420 1.166 2.410 2.995 1.246 1.883 0.624 2.863 5.665 1.811 1.279 0.844 3.257 0.536 2.102 3.425 2.008 1.284 0.433
Druze16 7.338 1.362 0.926 167.855 5.406 1.662 0.702 6.790 2.327 3.864 6.972 2.551 3.556 0.999 7.836 11.782 4.280 3.180 1.592 5.793 1.060 5.922 7.810 3.266 2.125 1.665
Druze17 4.066 0.579 0.402 193.517 3.996 2.039 0.161 4.040 1.629 3.018 5.012 1.344 2.559 0.961 6.152 10.729 2.591 1.395 1.278 4.830 0.861 6.926 5.371 2.760 1.465 0.942
Druze18 4.196 1.209 0.424 187.498 2.853 2.432 0.171 5.434 1.939 3.877 5.339 2.192 2.581 1.095 9.127 8.460 3.303 1.863 1.591 6.806 1.225 3.523 4.847 2.423 2.513 1.701
Druze19 15.505 2.715 1.439 39.811 11.656 4.575 0.986 10.306 7.054 7.632 17.518 5.369 7.530 2.169 20.263 29.297 13.173 4.997 3.199 14.679 2.387 14.973 16.236 6.508 5.748 2.897
Druze20 4.691 1.328 0.624 206.384 1.475 0.896 0.337 3.672 0.974 2.223 4.537 1.535 2.699 0.643 4.563 6.366 1.683 1.437 0.946 4.410 1.019 6.277 5.811 2.116 1.404 0.571
Druze21 8.655 1.838 1.663 124.156 5.925 2.996 0.246 6.926 2.517 5.931 11.379 3.976 5.908 1.653 10.147 17.645 6.822 4.774 1.745 13.165 1.619 8.604 9.602 5.394 3.307 2.029
Druze22 17.085 1.714 2.118 39.514 9.394 4.654 1.002 11.322 7.895 10.003 14.501 3.862 8.225 2.522 19.691 28.008 12.837 5.102 3.097 16.573 2.213 13.898 16.019 9.960 5.050 2.366
Druze23 12.985 2.503 1.977 72.616 9.098 3.598 0.448 10.942 4.821 8.429 14.052 5.373 8.594 2.433 16.750 21.581 7.569 3.732 3.094 15.020 2.914 11.882 13.186 7.271 4.558 3.198
Druze24 8.262 1.205 0.403 182.834 3.183 2.540 0.184 3.027 2.332 2.995 5.480 1.255 2.822 0.703 8.497 10.073 3.969 1.680 1.076 7.147 1.563 5.197 5.743 3.334 1.929 1.192
Druze25 12.433 2.295 1.216 83.190 6.176 4.537 0.496 9.952 4.945 8.046 11.257 4.124 5.415 2.356 16.420 21.135 7.960 3.849 2.647 14.259 1.534 11.854 15.908 9.352 4.502 2.766
Druze26 5.202 0.685 0.653 188.004 2.540 2.098 0.157 4.293 2.039 3.652 5.552 1.535 3.522 0.860 8.093 8.297 4.947 1.135 1.129 6.041 1.179 4.466 3.966 3.054 2.232 3.293
Druze27 12.202 2.120 1.336 90.103 7.315 4.980 1.115 8.388 5.968 6.467 13.083 4.221 6.137 1.675 18.755 22.536 7.960 4.121 2.206 12.146 1.995 9.718 11.093 5.021 4.568 3.392
Druze28 11.027 1.364 0.730 115.861 8.033 5.177 0.266 7.074 5.025 6.478 9.228 2.865 4.706 1.310 11.191 17.517 7.737 5.523 2.328 11.278 1.370 11.587 9.368 5.239 4.836 1.503
Druze29 12.984 4.627 2.293 44.922 8.954 4.210 1.579 10.196 5.764 8.269 17.987 8.093 9.908 3.282 18.893 23.846 9.188 3.668 2.783 16.804 3.199 13.916 16.178 6.839 6.364 3.874
Druze30 10.211 1.272 1.229 141.704 7.031 2.248 0.434 5.613 3.225 4.631 8.640 2.160 3.960 1.285 10.089 15.397 7.138 2.160 1.956 10.654 1.170 7.256 7.976 4.287 3.936 2.962
Druze31 5.746 0.846 0.554 185.270 3.565 2.082 0.196 5.138 2.323 3.666 5.590 1.406 2.950 0.895 7.572 12.361 3.446 1.512 1.219 5.989 0.774 4.332 4.680 3.897 1.526 1.087
Druze32 11.252 2.847 2.579 96.985 5.051 3.232 0.781 7.752 5.732 6.601 12.218 4.114 6.494 1.941 17.321 20.175 7.189 4.401 2.365 15.461 1.989 10.845 9.690 6.087 3.073 2.449
Druze33 10.716 2.399 0.947 118.561 7.397 5.453 0.409 6.682 5.593 6.198 8.797 2.574 4.651 1.496 15.323 16.020 5.816 5.074 2.331 11.511 1.057 8.739 8.915 6.659 3.651 1.655
